word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
cese,3.87,spanish,wordfreq,1,1.9,1475,4,3.87,low_frequency,24,1,1
sistema,5.56,spanish,wordfreq,0,2.95,8679,7,5.56,high_frequency,19,1,2
esos,5.5,spanish,wordfreq,2,1.65,3505,4,5.5,high_frequency,17,1,3
camina,3.99,spanish,wordfreq,3,1.8,1224,6,3.99,low_frequency,15,1,4
derechos,5.31,spanish,wordfreq,0,2.75,2647,8,5.31,high_frequency,9,1,5
respecto,5.26,spanish,wordfreq,1,2.6,8095,8,5.26,high_frequency,6,1,6
alan,4.18,spanish,wordfreq,4,1.75,302,4,4.18,low_frequency,16,1,7
difícil,5.24,spanish,wordfreq,1,3.55,2837,7,5.24,high_frequency,4,1,8
acabaron,3.89,spanish,wordfreq,0,2.75,55,8,3.89,low_frequency,9,1,9
ano,3.83,spanish,wordfreq,6,1.35,494,3,3.83,low_frequency,25,1,10
beca,4.13,spanish,wordfreq,3,1.8,968,4,4.13,low_frequency,1,1,11
estoy,5.89,spanish,wordfreq,1,1.9,3620,5,5.89,high_frequency,26,1,12
estamos,5.53,spanish,wordfreq,2,2.05,3591,7,5.53,high_frequency,18,1,13
aguilar,3.95,spanish,wordfreq,0,2.95,274,7,3.95,low_frequency,19,1,14
sociedad,5.4,spanish,wordfreq,0,3.15,8706,8,5.4,high_frequency,13,1,15
abiertos,4.28,spanish,wordfreq,1,2.6,17,8,4.28,low_frequency,6,1,16
especial,5.28,spanish,wordfreq,1,2.85,3517,8,5.28,high_frequency,7,1,17
haya,5.34,spanish,wordfreq,4,1.65,4502,4,5.34,high_frequency,10,1,18
atacan,3.93,spanish,wordfreq,1,2.45,743,6,3.93,low_frequency,14,1,19
alegro,4.2,spanish,wordfreq,2,2.45,324,6,4.2,low_frequency,3,1,20
las,6.99,spanish,wordfreq,8,1.4,5286,3,6.99,high_frequency,30,1,21
ancho,4.36,spanish,wordfreq,1,1.9,458,5,4.36,low_frequency,26,1,22
llegar,5.38,spanish,wordfreq,4,1.65,5484,6,5.38,high_frequency,12,1,23
fueron,5.61,spanish,wordfreq,1,2.3,4110,6,5.61,high_frequency,20,1,24
che,4.4,spanish,wordfreq,3,1.7,1487,3,4.4,low_frequency,29,1,25
piensas,4.38,spanish,wordfreq,2,2.05,7055,7,4.38,low_frequency,18,1,26
aceptada,3.83,spanish,wordfreq,1,2.85,80,8,3.83,low_frequency,7,1,27
justicia,5.21,spanish,wordfreq,0,3.2,5219,8,5.21,high_frequency,2,1,28
crece,4.3,spanish,wordfreq,2,1.7,2199,5,4.3,low_frequency,23,1,29
nacional,5.69,spanish,wordfreq,2,3.1,6219,8,5.69,high_frequency,22,1,30
ando,4.1,spanish,wordfreq,2,1.65,472,4,4.1,low_frequency,17,1,31
salir,5.36,spanish,wordfreq,2,1.9,8366,5,5.36,high_frequency,11,1,32
cap,4.0,spanish,wordfreq,5,1.6,1277,3,4.0,low_frequency,27,1,33
bien,6.11,spanish,wordfreq,2,1.85,998,4,6.11,high_frequency,28,1,34
última,5.22,spanish,wordfreq,2,2.45,9989,6,5.22,high_frequency,3,1,35
abra,3.94,spanish,wordfreq,2,1.85,23,4,3.94,low_frequency,28,1,36
estar,5.74,spanish,wordfreq,2,1.7,3595,5,5.74,high_frequency,23,1,37
influir,3.85,spanish,wordfreq,1,3.45,4853,7,3.85,low_frequency,4,1,38
allá,5.2,spanish,wordfreq,3,1.8,370,4,5.2,high_frequency,1,1,39
pesado,4.22,spanish,wordfreq,4,1.65,7018,6,4.22,low_frequency,12,1,40
sea,5.82,spanish,wordfreq,9,1.1,8424,3,5.82,high_frequency,25,1,41
entonces,5.65,spanish,wordfreq,0,3.75,3369,8,5.65,high_frequency,21,1,42
amigos,5.43,spanish,wordfreq,1,2.45,434,6,5.43,high_frequency,14,1,43
abu,3.84,spanish,wordfreq,1,1.9,38,3,3.84,low_frequency,5,1,44
ante,5.48,spanish,wordfreq,4,1.75,497,4,5.48,high_frequency,16,1,45
puedes,5.44,spanish,wordfreq,3,1.8,7622,6,5.44,high_frequency,15,1,46
país,5.78,spanish,wordfreq,1,1.9,6847,4,5.78,high_frequency,24,1,47
advierte,4.12,spanish,wordfreq,0,3.55,209,8,4.12,low_frequency,21,1,48
cancer,3.81,spanish,wordfreq,1,2.3,1255,6,3.81,low_frequency,20,1,49
fue,6.22,spanish,wordfreq,3,1.7,4102,3,6.22,high_frequency,29,1,50
ajena,4.02,spanish,wordfreq,2,1.9,296,5,4.02,low_frequency,11,1,51
medios,5.29,spanish,wordfreq,1,1.9,5833,6,5.29,high_frequency,8,1,52
día,5.96,spanish,wordfreq,5,1.6,3081,3,5.96,high_frequency,27,1,53
alemanes,4.33,spanish,wordfreq,0,3.2,329,8,4.33,low_frequency,2,1,54
abandona,3.95,spanish,wordfreq,2,3.15,3,8,3.95,low_frequency,22,1,55
atento,4.0,spanish,wordfreq,1,1.9,758,6,4.0,low_frequency,8,1,56
mac,4.19,spanish,wordfreq,6,1.5,5603,3,4.19,low_frequency,30,1,57
pila,4.04,spanish,wordfreq,4,1.65,7073,4,4.04,low_frequency,10,1,58
etc,5.25,spanish,wordfreq,1,1.9,3674,3,5.25,high_frequency,5,1,59
analizar,4.35,spanish,wordfreq,0,3.15,456,8,4.35,low_frequency,13,1,60
