word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
bees,3.96,english,wordfreq,7,1.55,848,4,3.96,low_frequency,24,1,1
already,5.55,english,wordfreq,0,2.95,314,7,5.55,high_frequency,19,1,2
job,5.5,english,wordfreq,6,1.6,4826,3,5.5,high_frequency,17,1,3
cop,4.37,english,wordfreq,13,1.0,2066,3,4.37,low_frequency,15,1,4
future,5.33,english,wordfreq,0,2.65,3768,6,5.33,high_frequency,9,1,5
type,5.27,english,wordfreq,2,1.85,9362,4,5.27,high_frequency,6,1,6
armies,3.9,english,wordfreq,0,2.4,521,6,3.9,low_frequency,16,1,7
field,5.24,english,wordfreq,1,1.9,3461,5,5.24,high_frequency,4,1,8
aboard,4.14,english,wordfreq,0,2.65,14,6,4.14,low_frequency,9,1,9
allan,3.8,english,wordfreq,2,1.85,290,5,3.8,low_frequency,25,1,10
buddy,4.4,english,wordfreq,0,2.35,1184,5,4.4,low_frequency,1,1,11
may,5.98,english,wordfreq,19,1.0,5525,3,5.98,high_frequency,26,1,12
states,5.52,english,wordfreq,4,1.65,8504,6,5.52,high_frequency,18,1,13
accepts,3.88,english,wordfreq,0,2.85,46,7,3.88,low_frequency,19,1,14
hours,5.4,english,wordfreq,2,1.8,4329,5,5.4,high_frequency,13,1,15
arab,4.39,english,wordfreq,2,1.85,488,4,4.39,low_frequency,6,1,16
quite,5.29,english,wordfreq,2,1.85,7141,5,5.29,high_frequency,7,1,17
happy,5.35,english,wordfreq,0,2.4,4090,5,5.35,high_frequency,10,1,18
abused,4.0,english,wordfreq,0,2.6,34,6,4.0,low_frequency,14,1,19
shave,3.83,english,wordfreq,7,1.55,8056,5,3.83,low_frequency,3,1,20
you,6.98,english,wordfreq,1,1.75,9978,3,6.98,high_frequency,30,1,21
pin,4.28,english,wordfreq,13,1.0,6609,3,4.28,low_frequency,26,1,22
fuck,5.39,english,wordfreq,4,1.75,3735,4,5.39,high_frequency,12,1,23
done,5.58,english,wordfreq,12,1.2,2757,4,5.58,high_frequency,20,1,24
doug,4.02,english,wordfreq,2,1.75,2777,4,4.02,low_frequency,29,1,25
shorts,4.07,english,wordfreq,4,1.65,8109,6,4.07,low_frequency,18,1,26
alike,4.13,english,wordfreq,2,1.85,285,5,4.13,low_frequency,7,1,27
parents,5.21,english,wordfreq,1,2.35,6394,7,5.21,high_frequency,2,1,28
aunt,4.16,english,wordfreq,2,1.85,657,4,4.16,low_frequency,23,1,29
found,5.68,english,wordfreq,5,1.65,3664,5,5.68,high_frequency,22,1,30
ios,4.12,english,wordfreq,6,1.6,4722,3,4.12,low_frequency,17,1,31
bit,5.37,english,wordfreq,15,1.0,955,3,5.37,high_frequency,11,1,32
baked,3.92,english,wordfreq,3,1.75,733,5,3.92,low_frequency,27,1,33
new,6.25,english,wordfreq,6,1.55,5980,3,6.25,high_frequency,28,1,34
fight,5.23,english,wordfreq,7,1.55,3469,5,5.23,high_frequency,3,1,35
ann,4.35,english,wordfreq,6,1.55,396,3,4.35,low_frequency,28,1,36
help,5.75,english,wordfreq,2,1.85,4182,4,5.75,high_frequency,23,1,37
alien,4.29,english,wordfreq,1,1.9,281,5,4.29,low_frequency,4,1,38
above,5.2,english,wordfreq,0,2.35,18,5,5.2,high_frequency,1,1,39
beam,4.14,english,wordfreq,4,1.75,818,4,4.14,low_frequency,12,1,40
never,5.91,english,wordfreq,2,1.85,5978,5,5.91,high_frequency,25,1,41
away,5.62,english,wordfreq,0,1.95,698,4,5.62,high_frequency,21,1,42
social,5.42,english,wordfreq,0,2.6,8283,6,5.42,high_frequency,14,1,43
bros,4.08,english,wordfreq,1,1.9,1157,4,4.08,low_frequency,5,1,44
united,5.47,english,wordfreq,0,2.4,9425,6,5.47,high_frequency,16,1,45
car,5.45,english,wordfreq,13,1.0,1333,3,5.45,high_frequency,15,1,46
long,5.81,english,wordfreq,7,1.55,5294,4,5.81,high_frequency,24,1,47
amen,3.93,english,wordfreq,0,1.95,342,4,3.93,low_frequency,21,1,48
bake,3.91,english,wordfreq,12,1.2,732,4,3.91,low_frequency,20,1,49
what,6.38,english,wordfreq,2,1.75,9778,4,6.38,high_frequency,29,1,50
cam,4.1,english,wordfreq,13,1.0,1280,3,4.1,low_frequency,11,1,51
further,5.31,english,wordfreq,1,2.8,3764,7,5.31,high_frequency,8,1,52
think,6.08,english,wordfreq,3,1.75,9030,5,6.08,high_frequency,27,1,53
barrier,4.15,english,wordfreq,1,2.35,779,7,4.15,low_frequency,2,1,54
bands,4.37,english,wordfreq,5,1.65,751,5,4.37,low_frequency,22,1,55
adapted,4.17,english,wordfreq,1,2.8,122,7,4.17,low_frequency,8,1,56
nah,4.4,english,wordfreq,1,1.75,5880,3,4.4,low_frequency,30,1,57
armor,3.97,english,wordfreq,0,2.4,522,5,3.97,low_frequency,10,1,58
self,5.25,english,wordfreq,1,1.9,7943,4,5.25,high_frequency,5,1,59
baker,4.23,english,wordfreq,2,1.8,734,5,4.23,low_frequency,13,1,60
